Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Kohl's,1444444,01/01/2020,Northeast,New York,New York City,Women's Street Footwear,90.94,271,24644.74,9613.91,39.01,Online
Foot Locker,1000000,01/01/2020,South,Texas,Austin,Men's Street Footwear,83.17,555,46159.35,22050.32,47.77,Online
Amazon,1111111,01/01/2020,South,Texas,Dallas,Women's Street Footwear,101.67,87,8845.29,3688.49,41.7,Outlet
Amazon,1111111,01/01/2020,West,Arizona,Phoenix,Women's Apparel,54.67,220,12027.4,5911.47,49.15,Online
West Gear,1555555,01/01/2020,Southeast,Florida,Tampa,Men's Athletic Footwear,81.4,108,8791.2,3205.27,36.46,Online
Amazon,1111111,01/01/2020,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,89.27,370,33029.9,12376.3,37.47,Online
Walmart,1222222,01/01/2020,Northeast,Pennsylvania,Pittsburgh,Men's Apparel,64.68,349,22573.32,6584.64,29.17,Outlet
Finish Line,1666666,01/01/2020,West,Nevada,Las Vegas,Women's Apparel,68.09,395,26895.55,8289.21,30.82,In-Store
West Gear,1555555,01/01/2020,West,Oregon,Eugene,Women's Street Footwear,98.63,349,34421.87,14725.68,42.78,In-Store
West Gear,1555555,01/01/2020,West,Arizona,Phoenix,Women's Apparel,57.76,495,28591.2,9260.69,32.39,In-Store
Amazon,1111111,01/01/2020,West,Washington,Seattle,Men's Apparel,78.62,107,8412.34,2999.84,35.66,Online
Sports Direct,1333333,01/01/2020,South,Louisiana,Baton Rouge,Women's Street Footwear,88.04,496,43667.84,19388.52,44.4,Outlet
Kohl's,1444444,01/01/2020,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,128.69,65,8364.85,4007.6,47.91,In-Store
Walmart,1222222,01/01/2020,South,Texas,Dallas,Women's Athletic Footwear,122.73,525,64433.25,18904.72,29.34,Online
